Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,...8,...9,...10,...11,Fulcrum - Sorting App,...13,...14,Pinning,...16,...17,Fulcrum - Pinning App,...19,...20,local,range,Elevation,lat,long,trap...26,date,manager,trap...29
SRER_004.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E5,2,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Maybe S. planipennis [EM],NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_004.E.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A1,2,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_004.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,A2,1,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_004.S.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A3,1,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_004.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,A4,1,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_004.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A5,1,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_005.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B1,1,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_006.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B2,3,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Metallic-like. No internal plica so not Abaris. Most like S. plannipennis(20221121 EM),NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B3,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.E.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,B4,1,Kmatthiesen,NA,Selenophorus sp,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_007.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C1,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C2,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_008.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C3,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C4,1,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C5,3,Kmatthiesen,NA,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_009.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,D1,2,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_010.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,D3,1,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,Possible Disco to add; but triple check it's a disco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_001.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,D4,8,Kmatthiesen,NA,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",NA,20221129,E.Martin,res not in fulcrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,D5,3,Kmatthiesen,NA,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_002.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E1,4,Kmatthiesen,NA,Selenophorus sp,20221129,R. Leal,"Arnett and Thomas, 2001",NA,NA,NA,Wait for sp. ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRER_003.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E3,1,Kmatthiesen,NA,Harpalus obliquus cf. sp.,20221116,E.Martin,"Ball, 1972",NA,20221129,E.Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
